path,sha256,phash,dhash,ahash
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1.jpg,864a17194042096e4310efe985748553ad9bd8abdadfeaa61cefddc8a6c710fe,17407199043946024515,1159849106836523791,18442178658765423040
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/10.jpg,000406363a146786eaa1ff1498982c27049f3a234ee31c86c254272cea18edfe,13878926098872677503,15706634279321002720,18446467050339594240
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/100.jpg,9a8afda71bc3b3473642ad0539fa6a89f4ac0bc63ed5e68ba34f503b71044d04,15097684686479001479,15336112364489076976,9114861354770774136
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1000.png,88f04e9341fd72135be988fed1a9e025981560a068309008051360face82b897,15691039758133845774,14034047201264588848,8824829892877885084
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1001.png,9a1f1069d263d3864e08353ce67fbeef4ce7e174adf65fa308c4d5b67a659fd8,11079355938729713422,14034047205584721968,8825392842831314588
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1002.png,b442e519cae2d1a6b17563f208244c1937fc5ec0640be7b441ad03ae390a0a6d,11079391123101277966,14034047205576341552,8825392842898415260
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1003.png,4bcea6da2b7a54487130f1e9bb6df70ba1d49e423e7aede72ef6780e5cb99c25,11052387117323869966,14034047205560088632,8824829892944993950
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1004.png,2ecc7146dfb2b1b95e22eadddad7476b64a29c9116e732e6d87e745a71262bd3,15691039212672999194,14034053796992700464,9114784302856932504
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1005.png,c3070a6b899c4a9076993feecaa6d889d87a07dc7aaef621156dbe83f84fe933,15691074667628026638,14033904264484018228,8826518743342124700
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1006.png,21a5c97c916b9e1082bfa84760f62853e25f151f12e53351ebfe939ccd4f573d,11079355663851806478,14033915259868739636,8826518742805257884
