path,jenis,kerusakan,jenis_idx,kerusakan_idx,joint_idx,scene_group,fold
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,0,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/10.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,921,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/100.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1000.png,BANJIR,KERUSAKAN RINGAN,0,0,0,2,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1001.png,BANJIR,KERUSAKAN RINGAN,0,0,0,3,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1002.png,BANJIR,KERUSAKAN RINGAN,0,0,0,4,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1003.png,BANJIR,KERUSAKAN RINGAN,0,0,0,1708,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1004.png,BANJIR,KERUSAKAN RINGAN,0,0,0,5,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1005.png,BANJIR,KERUSAKAN RINGAN,0,0,0,6,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1006.png,BANJIR,KERUSAKAN RINGAN,0,0,0,7,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1007.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1008.png,BANJIR,KERUSAKAN RINGAN,0,0,0,8,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1009.png,BANJIR,KERUSAKAN RINGAN,0,0,0,9,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/101.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,10,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1010.png,BANJIR,KERUSAKAN RINGAN,0,0,0,11,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1011.png,BANJIR,KERUSAKAN RINGAN,0,0,0,12,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1012.png,BANJIR,KERUSAKAN RINGAN,0,0,0,13,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1013.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1014.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1015.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1016.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1017.png,BANJIR,KERUSAKAN RINGAN,0,0,0,15,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1018.png,BANJIR,KERUSAKAN RINGAN,0,0,0,16,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1019.png,BANJIR,KERUSAKAN RINGAN,0,0,0,15,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/102.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,984,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1020.png,BANJIR,KERUSAKAN RINGAN,0,0,0,17,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1021.png,BANJIR,KERUSAKAN RINGAN,0,0,0,18,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1022.png,BANJIR,KERUSAKAN RINGAN,0,0,0,19,4
